"FacilityID","Name","Street","City","State","ZipCode","Geo","YelpID","YelpPhone","YelpCategories","YelpURL","YelpImageUrl","YelpRaiting","YelpReviewCount","Score","InspectionDate"
11309576,"Travis High School Child Development Center","1314 E OLTORF ST","AUSTIN","TX",78704,"(30.234487611210103, -97.74260244495657)","sOKndCgpWXPIGmGa0XWDGg","+15124447870","Child Care & Day Care,Preschools,Elementary Schools","https://www.yelp.com/biz/faith-presbyterian-child-development-center-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","",5,1,98,"2018-10-02"
11313992,"La Bodega Gourmet","11500 FM 2244 RD","BEE CAVE","TX",78738,"(30.311056714052953, -97.91360202940349)","TCMcEvU644sUYypq2b40Xg","+15122638844","Spanish,Tapas Bars,Gastropubs","https://www.yelp.com/biz/la-bodega-gourmet-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media3.fl.yelpcdn.com/bphoto/412OM4msw4fyMAwXPLGGVQ/o.jpg",5,50,87,"2018-06-05"
11319005,"4th Tap Brewing Cooperative","10615 METRIC BLVD","AUSTIN","TX",78758,"(30.385247944600113, -97.71186806906141)","GCmhLjeilD84ptzvoCVdjQ","+15129049817","Breweries","https://www.yelp.com/biz/4th-tap-brewing-co-op-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media4.fl.yelpcdn.com/bphoto/qz26OI2AAAEczFZw88QAWA/o.jpg",5,113,100,"2018-09-18"
11321694,"Osio","2901 S CAPITAL OF TEXAS HWY","AUSTIN","TX",78746,"(30.257892799713936, -97.80700989442836)","MYmjlLFFhlybZF5mU17Cjw","+15128400837","Korean,Bubble Tea,Sushi Bars","https://www.yelp.com/biz/osio-austin?adjust_creative=ECs-RBB6-uPkzLjWnbhMbg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=ECs-RBB6-uPkzLjWnbhMbg","https://s3-media1.fl.yelpcdn.com/bphoto/Z-Y3ognVomYIRBYahIZ1gw/o.jpg",4,68,91,"2018-08-27"
11324340,"Days Inn University","3105 N IH","AUSTIN","TX",78722,"(30.288767619079042, -97.72277832382326)","weHc3Wk2uEnO3Qfea609fw","+18003291073","Hotels","https://www.yelp.com/biz/days-inn-by-wyndham-austin-university-downtown-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media1.fl.yelpcdn.com/bphoto/NwXtexnttIIrZecPadFELw/o.jpg",3,41,93,"2018-06-05"
11326019,"Juniper","2400 E CESAR CHAVEZ ST","AUSTIN","TX",78702,"(30.254865853143706, -97.71763133071173)","i1GWpxJ1Phm2awhVaTkouA","+15122209421","Italian,Modern European,American (New)","https://www.yelp.com/biz/juniper-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media2.fl.yelpcdn.com/bphoto/Cyl9I82XMZfeFJpsavi05g/o.jpg",5,251,95,"2018-04-17"
11325268,"Ramsey Edition","15630 VISION DR","AUSTIN","TX",78660,"(30.45031963714903, -97.6622579850889)","Not Found","","","","","","",100,"2018-07-30"
11329340,"Chef ATX","4506 WELETKA DR","AUSTIN","TX",78734,"(30.406143464165496, -97.92625910060046)","Not Found","","","","","","",100,"2018-04-27"
11330080,"Zipfizz Corp","4301 W WILLIAM CANNON DR","AUSTIN","TX",78749,"(30.22138854436619, -97.83965356712693)","Not Found","","","","","","",100,"2018-06-07"
11330083,"Zipfizz Corp","10401 RESEARCH BLVD","AUSTIN","TX",78759,"(30.396227477255355, -97.74533155899795)","Not Found","","","","","","",100,"2018-06-11"
11335349,"Rhino Room","1012 E 6TH ST","AUSTIN","TX",78702,"(30.26511276099432, -97.73172246543024)","KVKOmWuS16WK-we431LNGA","+15122229482","Cocktail Bars,Music Venues","https://www.yelp.com/biz/rhino-room-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media4.fl.yelpcdn.com/bphoto/7XpVBl9zGOQ7_cc0eUDJhw/o.jpg",4,47,95,"2018-05-15"
11333594,"Espressoself","2438 W ANDERSON LN","AUSTIN","TX",78757,"(30.357104802923683, -97.731319921606)","Not Found","","","","","","",100,"2018-09-20"
11336804,"Full Circle Bar","1810 E 12TH ST","AUSTIN","TX",78702,"(30.273931207030632, -97.72038027110494)","3obdsYACkrjlt-7TzxzD3w","+15128140211","Bars","https://www.yelp.com/biz/full-circle-bar-austin?adjust_creative=o7wW9s4X43iBcxwx-i21Qw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=o7wW9s4X43iBcxwx-i21Qw","https://s3-media3.fl.yelpcdn.com/bphoto/uVpw4WxnzPvGHK5oGrjVAQ/o.jpg",5,25,92,"2018-02-21"
11334153,"Ramen Tatsu-Ya Commissary Kitchen","1030 NORWOOD PARK BLVD","AUSTIN","TX",78753,"(30.33915864070419, -97.69116919261224)","Not Found","","","","","","",94,"2018-08-21"
11334572,"Bespoke Food","5416 PARKCREST DR","AUSTIN","TX",78731,"(30.33617099047948, -97.75877218790957)","Not Found","","","","","","",95,"2018-05-14"
